,Feature1,Feature2,Feature3,Feature4,Feature6,Feature7,Feature10,Feature11,Feature12,Feature14,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature32,Feature34,Feature35,Feature36,Feature38,Feature40,Feature42,Feature44,Feature50,Feature51,Feature52,Feature54,Feature59,Feature61,UserID,TARGET
168,0.020246,-11551,-3298,2.0,1,0,2,3,7,0,0.09268489699999999,0.391054977,0.0619,0.0842,0.1667,0.2083,0.0708,0.0504,0.0672,0.0,0.0,0.063,0.0874,0.9717,0.0635,0.1379,0.0724,0.0551,0.07,0.0,0.0842,0.0633,0.1379,1.0,0.0,-141,1,0.0,1.0,332678,1
177,0.020246,-19703,-2884,4.0,1,1,2,3,17,0,0.335498418,0.178760465,0.0608,0.0656,0.1667,0.2083,0.0172,0.0496,0.0629,0.0,0.0,0.062,0.0681,0.9891,0.0105,0.1379,0.0176,0.0542,0.0655,0.0,0.0656,0.0105,0.1379,0.0,0.0,-2361,1,0.0,1.0,289986,0
236,0.030755,-20281,-2006,7.0,0,0,2,2,10,0,0.467416227,0.517296581,0.066,0.0653,0.125,0.1667,0.0409,0.0538,0.0325,0.0,0.0,0.0672,0.0678,0.9767,0.0284,0.1379,0.0418,0.0588,0.0338,0.0,0.0653,0.0284,0.1379,5.0,0.0,-762,1,0.0,1.0,243104,0
237,0.008865999999999999,-13762,-4375,1.0,1,0,4,2,11,0,0.7229674190000001,0.554946769,0.067,0.053,0.1667,0.2083,0.064,0.0538,0.051,0.0039,0.0939,0.0683,0.055,0.9767,0.0084,0.1379,0.0655,0.0588,0.0532,0.0995,0.053,0.0084,0.1379,0.0,0.0,-839,0,0.0,0.0,425579,0
259,0.072508,-16041,-2471,2.0,1,0,4,1,19,0,0.535433473,0.315472155,0.5753,0.3152,0.4583,0.5,0.0,0.469,0.5822,0.0,0.0564,0.5861,0.3271,0.9806,0.0,0.4138,0.0,0.5124,0.6066,0.0598,0.3152,0.0,0.4138,0.0,0.0,-226,0,0.0,2.0,425003,0
280,0.072508,-13699,-4723,6.0,1,0,2,1,16,0,0.7470901240000001,0.20796417399999997,0.0784,0.047,0.1667,0.2083,0.1642,0.0614,0.0663,0.0116,0.0207,0.084,0.0061,0.9727,0.0108,0.1379,0.168,0.0579,0.0605,0.0,0.0674,0.0115,0.1379,2.0,0.0,-835,0,0.0,1.0,265293,0
308,0.020713,-17413,-825,13.0,1,0,3,3,12,0,0.602885685,0.360612566,0.0701,0.0769,0.1667,0.2083,0.0769,0.0555,0.0624,0.0077,0.0158,0.0714,0.0798,0.9821,0.0079,0.1379,0.0786,0.0606,0.065,0.0167,0.0769,0.0079,0.1379,0.0,0.0,-821,1,0.0,1.0,442221,0
348,0.031329,-18020,-1552,9.0,1,0,3,2,13,0,0.262258369,0.610991328,0.066,0.0838,0.1667,0.2083,0.0628,0.0538,0.0628,0.0,0.0146,0.0672,0.087,0.9767,0.0079,0.1379,0.0643,0.0588,0.0654,0.0155,0.0838,0.0079,0.1379,4.0,1.0,-1805,1,0.0,0.0,430382,1
376,0.030755,-21593,-4278,19.0,1,0,2,2,9,0,0.6021524970000001,0.704706423,0.0722,0.0734,0.1667,0.2083,0.0526,0.0555,0.0599,0.0154,0.0473,0.0735,0.0762,0.9831,0.0074,0.1379,0.0538,0.0606,0.0624,0.05,0.0734,0.0074,0.1379,1.0,0.0,-1140,0,0.0,0.0,148787,0
387,0.005084,-12739,-4666,14.0,1,1,4,2,14,0,0.6472579589999999,0.6879328379999999,0.1515,0.1247,0.1667,0.2083,0.0562,0.1236,0.0585,0.0116,0.0081,0.1544,0.1294,0.9806,0.0829,0.069,0.0574,0.135,0.061,0.0086,0.1247,0.0827,0.069,1.0,1.0,-1656,1,0.0,2.0,392788,0
405,0.010556,-16271,-3436,27.0,1,0,2,3,15,0,0.44047224799999996,0.180887978,0.0495,0.0461,0.3333,0.2083,0.0221,0.0403,0.0418,0.0,0.0,0.0504,0.0478,0.9816,0.0047,0.0345,0.0226,0.0441,0.0435,0.0,0.0461,0.0047,0.0345,0.0,0.0,-1982,1,0.0,2.0,206043,0
447,0.04622,-10057,-2739,7.0,1,1,2,1,18,0,0.664938688,0.38079968299999994,0.1237,0.0846,0.375,0.4167,0.0931,0.1009,0.1245,0.0,0.0,0.1261,0.0878,0.9911,0.0283,0.1034,0.0952,0.1102,0.1298,0.0,0.0846,0.0282,0.1034,0.0,0.0,-670,0,0.0,0.0,196267,0
470,0.011703,-23571,-4593,8.0,0,0,2,2,12,0,0.71768551,0.703203305,0.2103,0.0,0.3333,0.375,0.1652,0.0,0.2256,0.0,0.0759,0.2143,0.0,0.9846,0.0536,0.2069,0.16899999999999998,0.0,0.2351,0.0803,0.0,0.0535,0.2069,0.0,0.0,-1929,0,0.0,3.0,224546,0
475,0.072508,-9418,-2014,3.0,1,0,1,1,14,0,0.7136898279999999,0.7136314,0.033,0.0,0.125,0.1667,0.0554,0.0235,0.0366,0.0154,0.0,0.0336,0.0,0.9618,0.0635,0.1379,0.0567,0.0257,0.0381,0.0,0.0,0.0634,0.1379,1.0,0.0,-1599,1,0.0,1.0,172668,0
493,0.025164,-20099,-3563,5.0,1,0,1,2,14,0,0.663348555,0.253962809,0.0165,0.0427,0.0417,0.0833,0.0351,0.0134,0.0126,0.0,0.0,0.0168,0.0443,0.9722,0.0019,0.069,0.0359,0.0147,0.0132,0.0,0.0427,0.0019,0.069,4.0,0.0,-1126,0,1.0,4.0,175800,0
501,0.072508,-13976,-424,64.0,1,0,2,1,9,0,0.34695596700000003,0.370649632,0.0825,0.084,0.1667,0.2083,0.0,0.0672,0.0446,0.0,0.0,0.084,0.0872,0.9752,0.0,0.1379,0.0,0.0735,0.0465,0.0,0.084,0.0,0.1379,2.0,0.0,-645,0,0.0,2.0,393659,0
519,0.009334,-12601,-4490,3.0,1,0,4,2,14,0,0.654398836,0.789880347,0.233,0.1445,0.3333,0.0417,0.1318,0.1891,0.2159,0.0039,0.0402,0.2374,0.15,0.9831,0.0168,0.2069,0.1348,0.2066,0.225,0.0426,0.1445,0.0168,0.2069,0.0,0.0,-438,0,0.0,0.0,373999,0
532,0.031329,-12167,-4542,23.0,1,1,2,2,8,0,0.31444046800000003,0.200926088,0.1485,0.0693,0.3333,0.375,0.0527,0.1196,0.14800000000000002,0.0068,0.0125,0.1502,0.046,0.9846,0.0284,0.1379,0.0509,0.1304,0.1502,0.0034,0.0768,0.0906,0.1379,0.0,0.0,0,0,0.0,3.0,425999,1
562,0.001276,-9706,-2390,17.0,1,0,1,2,14,0,0.45129913,0.6817058779999999,0.0948,0.1753,0.1667,0.0417,0.0004,0.0773,0.1019,0.0,0.0,0.0966,0.1819,0.9871,0.022000000000000002,0.3103,0.0004,0.0845,0.1062,0.0,0.1753,0.022000000000000002,0.3103,1.0,0.0,-1616,1,0.0,2.0,311364,0
577,0.019688999999999998,-12229,-4138,1.0,1,0,2,2,12,0,0.6782965679999999,0.602386344,0.0371,0.0384,0.3333,0.375,0.068,0.0303,0.049,0.0,0.0,0.0378,0.0398,0.9891,0.0116,0.0345,0.0696,0.0331,0.051,0.0,0.0384,0.0115,0.0345,0.0,0.0,-1737,1,4.0,2.0,101059,0
579,0.022625,-15897,-2445,9.0,1,0,1,2,11,0,0.01857782,0.067339509,0.0715,0.0631,0.3608,0.4025,0.0615,0.0583,0.073,0.0,0.0524,0.042,0.0282,0.9821,0.0071,0.0345,0.033,0.0367,0.0442,0.0,0.027999999999999997,0.0078,0.0345,0.0,0.0,-454,0,1.0,3.0,164705,1
586,0.006233,-21137,-4382,13.0,1,0,2,2,17,0,0.571384138,0.508286991,0.0598,0.0488,0.3333,0.2638,0.0474,0.0476,0.0478,0.0064,0.0153,0.0273,0.0,0.9851,0.0,0.069,0.0077,0.0661,0.0188,0.0035,0.0552,0.0185,0.069,0.0,0.0,-200,0,0.0,2.0,322313,0
587,0.010032,-22321,-4929,17.0,0,0,2,2,6,0,0.6227442360000001,0.7435593140000001,0.0227,0.0603,0.125,0.1667,0.1542,0.0185,0.0432,0.0,0.0,0.0231,0.0626,0.9737,0.0234,0.1034,0.1577,0.0202,0.045,0.0,0.0603,0.0233,0.1034,0.0,0.0,0,1,0.0,0.0,136672,0
588,0.028663,-22333,-4270,4.0,1,0,2,2,13,0,0.43733264899999996,0.45969045,0.2646,0.1803,0.2775,0.3192,0.1275,0.2152,0.2472,0.0025,0.0005,0.1261,0.122,0.9782,0.0862,0.2069,0.0858,0.2975,0.107,0.0008,0.2116,0.1033,0.2069,0.0,0.0,-1558,1,0.0,2.0,454803,0
603,0.019101,-16682,-189,64.0,0,0,2,2,16,0,0.625760246,0.515495375,0.0495,0.0269,0.4583,0.0417,0.0,0.0403,0.0497,0.0,0.0,0.0504,0.0279,0.9826,0.0096,0.0345,0.0,0.0441,0.0518,0.0,0.0269,0.0096,0.0345,4.0,0.0,-2075,0,0.0,3.0,328293,0
625,0.018209,-21741,-3870,32.0,0,0,2,3,6,0,0.58899607,0.616121691,0.1072,0.0773,0.3333,0.0417,0.0144,0.0857,0.1112,0.0077,0.0186,0.1092,0.0802,0.9851,0.1928,0.1034,0.0147,0.0937,0.1159,0.0197,0.0773,0.1923,0.1034,0.0,0.0,-909,1,1.0,1.0,154714,0
649,0.022625,-11670,-3890,4.0,1,0,3,2,9,1,0.76450396,0.619527708,0.166,0.1257,0.375,0.4167,0.0436,0.1345,0.19,0.0039,0.0011,0.1691,0.1305,0.9906,0.0944,0.1379,0.0446,0.1469,0.1979,0.0011,0.1257,0.0941,0.1379,2.0,0.0,0,1,0.0,1.0,415215,0
652,0.005002,-14608,-2826,30.0,1,1,2,3,13,0,0.577462201,0.41010257299999997,0.0407,0.0769,0.1042,0.2083,0.0334,0.0588,0.0358,0.0,0.0,0.0095,0.0798,0.9623,0.0081,0.1379,0.0341,0.0643,0.0063,0.0,0.0769,0.0081,0.1379,14.0,1.0,-541,0,2.0,1.0,335960,1
661,0.04622,-10132,-2771,10.0,1,1,2,1,10,1,0.7441536329999999,0.328063161,0.0825,0.0835,0.1667,0.2083,0.0516,0.0672,0.0661,0.0,0.0,0.084,0.0866,0.9782,0.05,0.1379,0.0528,0.0735,0.0689,0.0,0.0835,0.0498,0.1379,1.0,0.0,-733,0,0.0,0.0,394790,0
671,0.010147,-13000,-5358,12.0,1,0,2,2,13,0,0.5773181310000001,0.1585549,0.0742,0.049,0.3333,0.375,0.0103,0.0605,0.0696,0.0,0.0,0.0756,0.0508,0.9786,0.0367,0.069,0.0106,0.0661,0.0725,0.0,0.049,0.0366,0.069,1.0,1.0,-1708,1,0.0,1.0,238074,0
682,0.005144,-14104,-3591,7.0,1,0,4,2,11,0,0.29153808600000003,0.19294222800000002,0.1237,0.0885,0.1667,0.2083,0.016,0.1009,0.0642,0.0,0.0,0.1261,0.0918,0.9806,0.0,0.069,0.0164,0.1102,0.0669,0.0,0.0885,0.0,0.069,4.0,1.0,-185,1,0.0,0.0,295411,0
685,0.022625,-16789,-350,3.0,1,0,3,2,12,0,0.760038089,0.515495375,0.0701,0.0636,0.3333,0.375,0.1051,0.0572,0.083,0.0,0.0263,0.0714,0.066,0.9876,0.0209,0.069,0.1075,0.0624,0.0865,0.0278,0.0636,0.0208,0.069,0.0,0.0,-291,1,0.0,2.0,333822,0
699,0.016612000000000002,-17680,-277,10.0,1,0,1,2,13,0,0.683929479,0.188489534,0.3247,0.1802,0.375,0.4167,0.1024,0.2648,0.3591,0.0,0.0,0.3309,0.187,0.9901,0.1211,0.1724,0.1047,0.2893,0.3741,0.0,0.1802,0.1207,0.1724,0.0,0.0,-257,1,6.0,2.0,225594,1
725,0.018029,-10236,-518,1.0,1,0,3,3,10,0,0.5498415,0.26085591399999997,0.0825,0.0723,0.1667,0.0417,0.0166,0.0664,0.0701,0.0039,0.003,0.084,0.075,0.9767,0.0569,0.1379,0.017,0.0725,0.0731,0.0032,0.0723,0.0568,0.1379,0.0,0.0,-510,0,0.0,2.0,239198,0
727,0.072508,-14279,-4774,6.0,1,0,3,1,12,0,0.7677091659999999,0.862510303,0.201,0.1,0.625,0.6667,0.139,0.1605,0.2412,0.0154,0.0026,0.2048,0.1038,0.9826,0.0,0.1034,0.1422,0.1754,0.2513,0.0027,0.1,0.0,0.1034,0.0,0.0,-605,0,0.0,1.0,278082,0
731,0.010006000000000001,-14661,-4443,10.0,1,0,2,2,15,0,0.73384637,0.6496203110000001,0.1082,0.1,0.3333,0.375,0.0221,0.0883,0.0954,0.0039,0.0029,0.1103,0.1038,0.9876,0.0253,0.1034,0.0226,0.0964,0.0994,0.0031,0.1,0.0252,0.1034,3.0,1.0,-537,1,4.0,2.0,371128,0
757,0.020713,-14985,-95,1.0,1,0,3,3,7,0,0.38160503700000004,0.590233339,0.0629,0.027000000000000003,0.1667,0.2083,0.0347,0.0513,0.0529,0.0,0.0,0.0641,0.027999999999999997,0.9786,0.0086,0.1034,0.0355,0.055999999999999994,0.0552,0.0,0.027000000000000003,0.0085,0.1034,3.0,0.0,-565,1,0.0,2.0,306130,0
766,0.018801,-13439,-4167,14.0,1,0,4,2,10,0,0.565332825,0.75037515,0.1649,0.075,0.7083,0.7083,0.079,0.1345,0.18899999999999997,0.0,0.0,0.1681,0.0779,0.998,0.1194,0.069,0.0808,0.1469,0.1969,0.0,0.075,0.1191,0.069,0.0,0.0,-841,1,0.0,1.0,384329,0
796,0.026392000000000002,-15606,-3287,12.0,1,0,2,2,10,0,0.786311614,0.819317692,0.5619,0.3333,0.3333,0.0,0.3589,0.4514,0.5998,0.0309,0.0124,0.5725,0.3459,0.9816,0.126,0.5172,0.3671,0.4931,0.6249,0.0132,0.3333,0.1257,0.5172,1.0,1.0,-593,1,2.0,3.0,195775,0
805,0.026392000000000002,-18035,-1582,2.0,1,0,1,2,16,0,0.67669117,0.583237926,0.1144,0.0364,0.625,0.6667,0.0858,0.0933,0.1146,0.0,0.0,0.1166,0.0378,0.9881,0.0061,0.0345,0.0877,0.1019,0.1194,0.0,0.0364,0.006,0.0345,5.0,1.0,0,1,0.0,2.0,383515,0
834,0.010006000000000001,-15212,-3467,5.0,1,0,3,2,12,0,0.647402733,0.391054977,0.0443,0.0,0.0417,0.0833,0.0336,0.0361,0.0208,0.0,0.0,0.0452,0.0,0.9851,0.0068,0.069,0.0343,0.0395,0.0217,0.0,0.0,0.0067,0.069,5.0,0.0,-1546,1,0.0,3.0,301132,0
839,0.020246,-21776,-4146,1.0,0,0,2,3,17,0,0.528317403,0.554946769,0.0928,0.1002,0.1667,0.2083,0.0918,0.0748,0.0806,0.0039,0.0043,0.0945,0.10400000000000001,0.9772,0.016,0.2069,0.0939,0.0817,0.084,0.0046,0.1002,0.0159,0.2069,0.0,0.0,-1851,1,1.0,2.0,358645,0
859,0.030755,-9959,-2632,64.0,1,0,1,2,14,0,0.688398293,0.443615308,0.0103,0.019,0.0417,0.0833,0.0077,0.0084,0.0073,0.0,0.0,0.0105,0.0197,0.9727,0.0,0.069,0.0079,0.0092,0.0076,0.0,0.019,0.0,0.069,0.0,0.0,-1120,1,0.0,0.0,157868,0
869,0.018029,-8548,-900,12.0,1,0,1,3,10,1,0.334947751,0.404878364,0.0619,0.0603,0.1667,0.2083,0.0417,0.0504,0.0536,0.0,0.0,0.063,0.0626,0.9786,0.0078,0.1379,0.0427,0.0551,0.0559,0.0,0.0603,0.0077,0.1379,1.0,0.0,-290,0,0.0,1.0,410319,0
877,0.025164,-10846,-3472,4.0,1,0,1,2,16,0,0.632718735,0.581483706,0.2778,0.0553,0.375,0.0417,0.1142,0.2265,0.2395,0.0,0.0055,0.1576,0.0566,0.998,0.0,0.1034,0.1023,0.1377,0.1248,0.0,0.0553,0.0,0.2069,0.0,0.0,-2,1,0.0,0.0,206811,0
884,0.0228,-11086,-3334,12.0,1,0,2,2,19,0,0.651102673,0.447178578,0.2227,0.1625,0.3333,0.375,0.1278,0.1807,0.2343,0.0039,0.0044,0.2269,0.1686,0.9811,0.1413,0.2069,0.1307,0.1974,0.2441,0.0046,0.1625,0.1409,0.2069,0.0,0.0,-794,1,1.0,3.0,203446,0
893,0.025164,-23727,-4825,12.0,0,0,1,2,19,0,0.11385018,0.7435593140000001,0.032,0.0107,0.0833,0.125,0.0376,0.0261,0.0243,0.0,0.0,0.0326,0.0111,0.9672,0.034,0.1034,0.0385,0.0285,0.0253,0.0,0.0107,0.0339,0.1034,0.0,0.0,-402,0,0.0,2.0,353249,0
919,0.031329,-13471,-4025,13.0,1,0,4,2,10,0,0.411198165,0.492060094,0.0825,0.0819,0.1667,0.2083,0.085,0.0672,0.0784,0.0,0.0,0.084,0.085,0.9881,0.0127,0.2069,0.087,0.0735,0.0817,0.0,0.0819,0.0127,0.2069,5.0,0.0,-304,0,0.0,4.0,289037,0
923,0.0038130000000000004,-18843,-2362,14.0,1,0,3,2,8,0,0.245349553,0.262248971,0.1309,0.0576,0.1667,0.2083,0.0322,0.1051,0.048,0.0077,0.0538,0.1334,0.0597,0.9752,0.0056,0.1034,0.0329,0.1148,0.0501,0.057,0.0576,0.0056,0.1034,0.0,0.0,0,1,0.0,0.0,368416,0
944,0.031329,-15507,-4383,15.0,1,1,1,2,11,0,0.44143717600000004,0.495665829,0.1031,0.1138,0.1667,0.2083,0.1059,0.0841,0.0905,0.0,0.0104,0.105,0.1181,0.9757,0.0116,0.2069,0.1083,0.0918,0.0943,0.011000000000000001,0.1138,0.0115,0.2069,0.0,0.0,-955,1,0.0,3.0,177490,1
948,0.032561,-8842,-993,0.0,1,0,1,1,13,0,0.6913130909999999,0.547810466,0.0454,0.0,0.125,0.1667,0.0302,0.0286,0.0456,0.0386,0.042,0.0462,0.0,0.9518,0.0114,0.2069,0.0309,0.0312,0.0475,0.0444,0.0,0.0114,0.2069,7.0,0.0,-1743,1,0.0,1.0,152318,0
955,0.019688999999999998,-8565,-941,1.0,1,0,1,2,17,1,0.449626443,0.517296581,0.0722,0.0804,0.1667,0.2083,0.0,0.0588,0.0681,0.0,0.0,0.0735,0.0834,0.9796,0.0088,0.1379,0.0,0.0643,0.0709,0.0,0.0804,0.0088,0.1379,0.0,0.0,-588,1,0.0,2.0,392889,0
968,0.018801,-20773,-3422,9.0,1,1,1,2,9,0,0.540195045,0.617826147,0.1113,0.0827,0.3333,0.375,0.0621,0.0908,0.1149,0.0,0.0,0.1134,0.0858,0.9851,0.0719,0.1034,0.0635,0.0992,0.1198,0.0,0.0827,0.0717,0.1034,1.0,0.0,-669,0,0.0,0.0,399612,0
976,0.04622,-14977,-4587,1.0,1,0,2,1,15,1,0.6392896060000001,0.486653157,0.0165,0.0,0.0417,0.0833,0.0087,0.0134,0.0147,0.0,0.0,0.0168,0.0,0.9782,0.0008,0.069,0.0089,0.0147,0.0153,0.0,0.0,0.0008,0.069,4.0,3.0,-271,0,0.0,6.0,399554,0
977,0.018801,-12604,-4176,21.0,1,0,3,2,12,0,0.36712724700000005,0.465069215,0.0742,0.040999999999999995,0.3333,0.375,0.0968,0.0605,0.0749,0.0,0.0,0.0756,0.0426,0.9876,0.0438,0.069,0.099,0.0661,0.078,0.0,0.040999999999999995,0.0437,0.069,2.0,1.0,-2853,1,0.0,1.0,406457,1
991,0.02461,-24224,-2693,4.0,0,0,2,2,17,0,0.771196518,0.7922644740000001,0.1186,0.1025,0.3333,0.375,0.0818,0.0941,0.1323,0.0116,0.0159,0.1208,0.1063,0.9831,0.0827,0.1034,0.0837,0.1028,0.1379,0.0168,0.1025,0.0824,0.1034,3.0,1.0,-1468,1,0.0,7.0,117558,0
1000,0.072508,-10759,-2374,6.0,1,1,2,1,13,0,0.729290233,0.283711883,0.11699999999999999,0.0676,0.3958,0.4375,0.1257,0.0954,0.07,0.0,0.001,0.0882,0.04,0.9777,0.0245,0.0345,0.1016,0.0771,0.0476,0.0,0.0676,0.0428,0.0862,0.0,0.0,-273,0,0.0,2.0,253769,0
1002,0.028663,-13763,-4186,64.0,1,0,2,2,15,0,0.36198559,0.301624892,0.0557,0.0245,0.3333,0.375,0.0187,0.0454,0.0439,0.0,0.0,0.0567,0.0255,0.9772,0.0088,0.0345,0.0191,0.0496,0.0458,0.0,0.0245,0.0088,0.0345,0.0,0.0,-301,1,0.0,1.0,196571,0
1012,0.028663,-24579,-4472,19.0,0,0,1,2,16,0,0.657118766,0.786266615,0.1206,0.0726,0.1667,0.2083,0.079,0.0975,0.0343,0.0039,0.0109,0.1229,0.0753,0.9717,0.1074,0.1379,0.0808,0.1065,0.0358,0.0115,0.0726,0.1071,0.1379,0.0,0.0,-1004,1,0.0,0.0,153649,0
1020,0.001276,-12433,-4607,14.0,1,0,3,2,8,0,0.61852236,0.050979332999999995,0.0814,0.0654,0.1667,0.0417,0.0623,0.0664,0.0649,0.0,0.0,0.083,0.0679,0.9791,0.0098,0.1379,0.0637,0.0725,0.0677,0.0,0.0654,0.0097,0.1379,0.0,0.0,-677,1,0.0,2.0,150682,0
1032,0.020713,-11514,-3303,17.0,1,0,2,3,7,0,0.444140224,0.27070738699999997,0.1227,0.0473,0.1667,0.2083,0.0227,0.1,0.1135,0.0,0.0,0.125,0.0491,0.9851,0.0166,0.2759,0.0232,0.1093,0.1183,0.0,0.0473,0.0165,0.2759,1.0,0.0,-847,1,0.0,6.0,150446,0
1041,0.025164,-11602,-3867,7.0,1,0,3,2,15,0,0.660490722,0.20325211399999998,0.0676,0.0607,0.1667,0.2083,0.0128,0.0549,0.0555,0.0011,0.0013,0.084,0.0778,0.9742,0.0042,0.1379,0.008,0.0735,0.0321,0.0,0.075,0.0079,0.1379,1.0,0.0,-2,1,1.0,0.0,448220,0
1062,0.020713,-13785,-3448,10.0,1,0,3,3,9,1,0.367289848,0.81609236,0.0619,0.064,0.1667,0.2083,0.0568,0.005,0.0591,0.0,0.0,0.063,0.0664,0.9851,0.0109,0.1379,0.0581,0.0055,0.0616,0.0,0.064,0.0109,0.1379,0.0,0.0,0,1,0.0,1.0,131458,0
1068,0.010276,-12465,-4152,9.0,1,0,3,2,12,1,0.58193768,0.33606152100000003,0.0165,0.0,0.0417,0.0833,0.0104,0.0134,0.0206,0.0,0.0,0.0168,0.0,0.9722,0.0082,0.1034,0.0107,0.0147,0.0215,0.0,0.0,0.0082,0.1034,0.0,0.0,-838,0,0.0,0.0,159492,0
